"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","GO"
"ENSG00000230663",3.9069715862301,-4.58418918198646,1.03983750160727,-4.40856304461101,1.04058730497775e-05,0.000259670095883547,NA,NA
"ENSG00000110680",2312.97037962207,-4.39138292671618,1.44773562140007,-3.03327683715441,0.00241913563138706,0.023117977099993,"CALCA","GO:0002548"
"ENSG00000079689",52.9191679249803,-4.29135038796423,0.736632332154736,-5.82563403836963,5.68961723615172e-09,3.94180674834441e-07,"SCGN","GO:0005509"
"ENSG00000249694",2.3085290290853,-4.08415490332468,1.25537391401371,-3.25333739831087,0.00114057981175659,0.0127366621733695,NA,NA
"ENSG00000250387",6.53761091883219,-3.48316870495682,0.802818249187739,-4.33867654164683,1.43343312363611e-05,0.000340488866480542,NA,NA
"ENSG00000156269",2.45615812055814,-3.43557839714487,1.22371532935787,-2.80749804690904,0.00499279826118249,0.0397164548307571,"NAA11","GO:0004596"
"ENSG00000259129",15.1467068814389,-3.16706804600575,0.958371973916014,-3.30463341187322,0.000951007016096765,0.0110213549715807,"LINC00648",NA
"ENSG00000234025",2.37645601797367,-3.11098023156348,0.972386476599241,-3.19932486354974,0.00137749852518931,0.0148272345512029,NA,NA
"ENSG00000237859",1.23026002096122,-3.07997649698024,1.11497125725863,-2.76238196897824,0.00573813046127326,0.0442474414051634,NA,NA
"ENSG00000137558",209.737583312954,-3.03067210175403,0.601023869117258,-5.0425153766443,4.59451822037751e-07,1.77012219046544e-05,"PI15","GO:0005615"
"ENSG00000228411",1.41673071541572,-3.01541056980287,1.10498732553404,-2.72890964459299,0.00635441122324052,0.0475933047331945,NA,NA
"ENSG00000242097",1.34140429851607,-3.01235472630546,1.09191442951211,-2.75878278085532,0.00580170851058885,0.0445305090540629,NA,NA
"ENSG00000184735",1.36148010761588,-2.97530350859381,0.990888868191877,-3.00266115010756,0.00267630236844292,0.0249999244304698,"DDX53","GO:0003723"
"ENSG00000242307",1.18272092956076,-2.97525473154142,1.04866414092995,-2.83718553483003,0.00455131558505906,0.0372693525047138,NA,NA
"ENSG00000251676",3.14981806050732,-2.89323476552524,1.04049940566585,-2.78062125722576,0.00542549936160129,0.0423853852383559,"SNHG27",NA
"ENSG00000120332",308.079798791864,-2.8896193313482,0.600014595617115,-4.81591506682638,1.46526842369734e-06,4.83707001478019e-05,"TNN","GO:0002076"
"ENSG00000089225",225.063026659361,-2.88298804481786,0.814263931658113,-3.54060634731436,0.000399208713983085,0.00547149748032695,"TBX5","GO:0000122"
"ENSG00000258011",1.27729980811113,-2.87232597268328,0.950339307251789,-3.02242151909883,0.00250761096614257,0.0237731405010129,NA,NA
"ENSG00000255986",132.51636374153,-2.85724453451002,0.89686490944233,-3.18581372113963,0.00144347506431374,0.0153322472183502,"MT1JP",NA
"ENSG00000230902",1.44855324417731,-2.76569693058245,0.967865044881356,-2.85752331402926,0.00426961267523109,0.0355149035376253,NA,NA
